id," start"," end"," name"," depth"," tags"
life,"August 19, 1993","now","Life","0","general"
school,"September 1, 1999","May 25, 2010","School","1","general, education"
university,"September 1, 2010","May 25, 2014","University","1","general, education"
career,"February 20, 2014","now","Software Engineer","1","general, career"
-junior,"February 20, 2014","April 4, 2015","Junior","2","general, career"
-middle,"April 4, 2015","October 16, 2015","Middle","2","general, career"
-middle-continued,"October 26, 2015","October 26, 2016","Middle","2","general, career"
-senior,"October 26, 2016","now","Senior","2","general, career"
large-crm,"February 20, 2014","August 1, 2015","Large CRM","2","career, project"
spreadsheets-app,"August 1, 2014","October 1, 2014","Web spreadsheets app","3","career, project"
iot-asset-management,"June 15, 2015","October 10, 2015","IoT Asset Management","3","career, project"
iot-platform,"November 1, 2015","August 31, 2019","IoT Platform","2","career, project"
polymer-app,"November 1, 2015","December 20, 2015","Polymer App","3","career, deliverable"
email-templates,"January 5, 2016","January 20, 2016","Email templates system","3","career, deliverable"
leaflet-maps,"February 5 2016","February 15, 2016","Abstract Map Component with Leaflet","3","career, deliverable"
crud-pages,"February 20, 2016","March 20, 2016","CRUD for one of the resources","3","career, deliverable"
api-testing-tool,"March 25, 2016","April 5, 2016","API Testing Tool","3","career, deliverable"
analytics-dashboard,"April 6, 2016","April 10, 2016","Analytics Dashboard","3","career, deliverable"
xbac,"April 15, 2016","April 25, 2016","RBAC/ABAC for application","3","career, deliverable"
session-timeouts,"June 6, 2016","June 28, 2016","Active Session timeouts","3","career, deliverable"
password-complexity,"July 5, 2016","July 15, 2016","Password Complexity Indicator","3","career, deliverable"
dropping-compass,"August 10, 2016","September 15, 2016","Migrated from Compass to libsass","3","career, deliverable"
backend-testing,"September 20, 2016","October 5, 2016","Microframework for Backend unit testing","3","career, deliverable"
custom-dashboards,"October 20, 2016","December 25, 2016","Application Customization Framework","3","career, deliverable, cool"
iot-gateway,"March 20, 2017","September 25, 2017","IoT Gateway on AWS Lambda","3","career, deliverable"
dart-sdk,"June 10, 2017","June 20, 2017","Dart SDK for Platform APIs","5","career, deliverable, cool"
iot-dashboard,"May 15, 2017","August 25, 2017","Administration Dashboard for IoT Devices","4","career, deliverable"
lambda-tracing,"June 23, 2017","August 10, 2017","Distributed tracing for AWS Lambda","5","career, deliverable, cool"
frontend-lead,"August 30, 2017","August 31, 2019","Chapter Lead","3","career, general"
drop-bower,"September 5, 2017","September 15, 2017","Migration from Bower/RequireJS","4","career, deliverable"
traceability-search,"February 7, 2016","August 24, 2016","Traceability Solution on AWS Lambda","4","career, project"
experiences-service,"August 10, 2018","August 30, 2018","WYSIWYG Experiences Service","4","career, deliverable, cool"
traceability-solution,"September 4, 2018","April 3, 2020","Traceability Solution","4","career, project"
satellite-applications,"November 20, 2018","December 10, 2018","Microfrontends","6","career, deliverable"
traceability-dashboards,"November 23, 2018","April 23, 2019","Traceability Dashboards","5","career, deliverable"
e2e-testcafe,"January 23, 2018","May 30, 2018","E2E With TestCafe","4","career, deliverable"
docker-optimisation,"March 19, 2018","March 30, 2018","Docker Builds Optmisation","5","career, deliverable"
supply-chain-traceability,"September 1, 2019","March 21, 2020","Supply Chain Traceability","2","career, project"
ar-demo,"February 27, 2019","March 19, 2019","AR App Demo","6","career, deliverable, cool"
platform-quickstart,"October 10, 2017","November 20, 2017","Platform Quickstart","4","career, deliverable, cool"
pallet-tracking,"October 15, 2019","April 2, 2020","Pallet Tracking","3","career, project"
lambda-service,"June 20, 2019","July 10, 2019","Service for serverless scripts","5","career, deliverable, cool"
singularity,"August 1, 2019","September 20, 2019","Singularity","5","career, project, cool"
mlls,"September 25, 2019","April 20, 2020","My Long Locking Story","5","career, project, cool"
lisp-interpreter,"February 1, 2020","March 31, 2020","LISP in Dart","6","career, deliverable, cool"
wutch,"April 1, 2020","October 1, 2020","wutch.net","2","career, project, cool"
electronic-music,"August 9, 2011","October 18, 2014","Electronic music","2","general, hobby"
graphic-design,"February 9, 2012","January 5, 2014","Graphic Design","3","general, hobby"
html-taste,"February 7, 2007","May 26, 2007","First taste of HTML","3","general, career"
photoshop-tutorials,"May 12, 2004","June 26, 2007","Adobe Photoshop Tutorials","2","general, hobby"
flutter-articles,"September 1, 2019","January 19, 2020","Writing articles on Flutter","6","career, cool"
oss-contribution,"November 1, 2019","December 1, 2019","Contributing to Flame Engine","7","career, cool"
flutter-clock,"January 10, 2020","January 30, 2020","Flutter Clock Challenge","7","career, cool"
redscript,"October 1, 2015","October 5, 2015","RedScript","5","career, cool"
dtg,"April 1, 2016","April 10, 2016","DTG","5","career, cool"
euler-rust,"December 1, 2016","December 31, 2016","Project Euler in Rust","4","career, cool"
yson,"September 20, 2015","October 10, 2015","YSON","4","career, cool"
thng-query,"February 5, 2018","February 30, 2018","Thng Query","5","career, cool"
tohu,"April 1, 2018","April 20, 2018","Tohu","5","career, cool"
bip,"October 8, 2020","July 12, 2024","Business Intelligence Platform","2","career, project"
